id,description,created_at,language,is_owner,is_public,access,mode,gender,country,is_pro,locales_accents,name,age_hint
faf0731e-dfb9-4cfc-8119-259a79b27e12,Friendly woman for playful conversations,1970-04-16T00:00:09.000Z,hi,false,true,type: public; visibility: all,similarity,feminine,IN,false,hi-IN*,Riya - College Roommate,
e8e5fffb-252c-436d-b842-8879b84445b6,"Nice, young adult female for casual conversations",2025-04-01T19:44:31.335Z,en,false,true,type: public; visibility: all,similarity,feminine,US,false,"en-US*, hi-IN, es-MX, ar-SA, de-DE, fr-CA, it-IT, pt-BR, ta-IN, te-IN, th-TH, zh-CN",Cathy - Coworker,Young Adult
95d51f79-c397-46f9-b49a-23763d3eaa2d,Hinglish female for bilingual content,1970-01-05T00:00:00.000Z,hi,false,true,type: public; visibility: all,similarity,feminine,IN,false,hi-IN*,Arushi - Hinglish Speaker,
79f8b5fb-2cc8-479a-80df-29f7a7cf1a3e,"Steady, enunciating, confident young male for narrations",1970-04-23T00:00:00.000Z,en,false,true,type: public; visibility: all,similarity,masculine,US,false,"en-US*, hi-IN, es-MX, de-DE, fr-CA, it-IT, pt-BR, zh-CN",Theo - Modern Narrator,Young
15d0c2e2-8d29-44c3-be23-d585d5f154a1,Formal and steady Mexican adult for clear and concise exchanges of information,1970-03-25T00:00:00.000Z,es,false,true,type: public; visibility: all,similarity,masculine,MX,false,es-MX*,Pedro - Formal Speaker,
c46cf1f6-49a1-4d67-9a57-ff859a4046d3,"Cora offers a helpful and articulate tone, perfectly suited for customer support and service-oriented communication.",2026-06-22T01:05:08.876Z,en,false,true,type: public; visibility: all,similarity,feminine,GB,false,en-GB*,Cora - Service Specialist,
aa2cafe9-97ba-4052-ac3c-875000f95212,"Zander delivers a measured and calm presence, ideal for professional guidance and reassuring explanations.",2026-06-22T00:14:16.707Z,en,false,true,type: public; visibility: all,similarity,masculine,ZA,false,en-ZA*,Zander - Composed Advisor,
65209f8e-6140-4a20-b819-3cc2e21da19b,"Warm, engaging, and effortlessly dependable with a natural, conversational touch.",2026-05-15T22:51:54.671Z,en,false,true,type: public; visibility: all,similarity,masculine,US,false,"en-US*, hi-IN, es-MX, de-DE, fr-CA, it-IT, ja-JP, pt-BR",Nolan - Expressive Agent,
2f251ac3-89a9-4a77-a452-704b474ccd01,Reassuring British female for customer assistance.,2026-02-13T20:40:39.091Z,en,false,true,type: public; visibility: all,similarity,feminine,GB,false,en-GB*,Lucy - Capable Coordinator,
c2ad7092-0447-47ea-948b-61fbb6faf153,"Polished, bright Australian female for friendly professional assistance.",2026-06-25T09:44:49.805Z,en,false,true,type: public; visibility: all,similarity,feminine,AU,false,en-AU*,Grace - Helpful Hand,
7348f896-8516-4382-9c8f-ad2aee1ffedc,"Naledi offers an engaging and informative tone, ideal for e-learning and clear, comprehensive educational narration.",2026-06-22T00:05:14.604Z,en,false,true,type: public; visibility: all,similarity,feminine,ZA,false,en-ZA*,Naledi - Engaging Instructor,
273f9ef7-9fc2-4def-88bb-ab108c6249ca,"Soft, graceful tone with a composed rhythm for polished guidance and reassurance.",2026-05-15T00:04:24.693Z,en,false,true,type: public; visibility: all,similarity,feminine,GB,false,en-GB*,Julia - Gentle Guide,
a33f7a4c-100f-41cf-a1fd-5822e8fc253f,"Expressive female voice for narration, storytelling, and creative content",2025-12-16T18:14:42.582Z,en,false,true,type: public; visibility: all,similarity,feminine,US,false,en-US*,Lauren - Lively Narrator,
a5136bf9-224c-4d76-b823-52bd5efcffcc,"Friendly, laid-back male voice for customer support and onboarding",2025-12-15T20:39:35.396Z,en,false,true,type: public; visibility: all,similarity,masculine,US,false,"en-US*, hi-IN, es-MX, ar-SA, de-DE, fr-CA, he-IL, it-IT, ja-JP, pt-BR, ta-IN, te-IN, th-TH, zh-CN",Jameson - Easygoing Support,
4459a9a5-69d6-4680-b970-e13dc51845b6,"Breathes life into words with a gentle, expressive quality, perfect for engaging listeners with heartfelt narratives and clear communication.",2026-06-25T19:42:09.041Z,hi,false,true,type: public; visibility: all,similarity,feminine,IN,false,hi-IN*,Siya - Bright Conversationalist,
8c254787-4eb4-4577-bd3d-fb3c273baea2,"Provides a reliable and steady vocal presence, ensuring clarity and trust in every piece of communication.",2026-06-22T01:58:09.421Z,en,false,true,type: public; visibility: all,similarity,masculine,GB,false,en-GB*,Rowan - Steady Guide,
391f4c0a-f1a8-4c21-9aa2-7a07f0a4b0dc,"Bright and trustworthy Australian voice provides approachable guidance, making her excellent for customer support and helpful directions.",2026-06-29T12:41:49.169Z,en,false,true,type: public; visibility: all,similarity,feminine,AU,false,en-AU*,Bronte - Trusted Guide,
ebc02c0d-61fd-48f2-a6c9-0d6683b7d466,Ayala's expressive yet controlled delivery makes her perfect for engaging narrations and insightful presentations.,2026-06-22T00:16:17.549Z,he,false,true,type: public; visibility: all,similarity,feminine,IL,false,he-IL*,Ayala - Expert Narrator,
1fcd23d0-bf12-4896-8f60-4f21ef5c9b98,Reliable and approachable guide for dependable everyday assistance.,2026-05-15T00:39:04.764Z,en,false,true,type: public; visibility: all,similarity,masculine,US,false,en-US*,Austin - Conversational Guide,
